url	titolo	prezzo	descrizione	scheda_tecnica	img_file
https://www.j-pop.it/rockwell-il-cavaliere-scarlatto/308-rockwell-01.html	Rockwell 01	['Prezzo: 3,90 €']	Rockwell, erede di una nobile famiglia oramai decaduta, vuole diventare un grande cavaliere tanto che, dimostrato il suo coraggio, riesce a diventare lo scudiero del prode Sir Helmut . Passati alcuni anni Rockwell, oramai fattosi adulto, si rende conto che ci sono molte cose il suo mentore gli ha tenuto nascosto. Tra draghi feroci, scontri all'arma bianca e nemici agguerriti, molte avventure lo attendono, se vuole davvero tenere fedele al giuramento di cavaliere!	[['Autore: Wataru Nadatani'], ['Serie: GP Fiction 15'], ['Formato: 11.5x17.5'], ['ISBN: 9788864684215'], ['Genere: Fantasy, Avventura, Shonen']]	https://www.j-pop.it/306-thickbox_default/rockwell-01.jpg
https://www.j-pop.it/rockwell-il-cavaliere-scarlatto/310-rockwell-02.html	Rockwell 02	['Prezzo: 3,90 €']	Rockwell ora è solo, la sua guida, il suo mentore non c'è più, ma il cammino per diventare un vero cavaliere è ancora lungo e irto di pericoli. Per di più, ora che è entrato al servizio dalla principessa Miranda, dovrà dimostrare di essere degno di far parte dell'ordine della Luna Scarlatta. Tra mostri diabolici e imprese disperate, continua il cammino del ragazzo che da scudiero diventerà una leggenda, in un fantasy che ha portato Wataru Nadatani nell'olimpo dei mangaka, e che, dopo il successo in patria, conquisterà anche il pubblico italiano.	[['Autore: Wataru Nadatani'], ['Serie: GP Fiction 17'], ['Formato: 11.5x17.5'], ['ISBN: 9788864684222'], ['Genere: Fantasy, Avventura, Shonen']]	https://www.j-pop.it/308-thickbox_default/rockwell-02.jpg
https://www.j-pop.it/rockwell-il-cavaliere-scarlatto/311-rockwell-03.html	Rockwell 03	['Prezzo: 3,90 €']	Tra misteriose chiavi magiche, mostri terrificanti, maghi vendicativi e nobili corrotti continuano le avventure di Rockwell, sulla strada che ha scelto per diventare un cavaliere perfetto. Ora che è entrato a far parte dell'ordine dei Cavalieri della Luna Scarlatta, però, un dubbio si pone di fronte al giovane ardimentoso: i nuovi compagni sono davvero la soluzione ai suoi problemi, o tra guerrieri così diversi il suo sogno rischia di perdersi e diventare soltanto una chimera?	[['Autore: Wataru Nadatani'], ['Serie: GP Fiction 19'], ['Formato: 11.5x17.5'], ['ISBN: 9788864684239'], ['Genere: Fantasy, Avventura, Shonen']]	https://www.j-pop.it/309-thickbox_default/rockwell-03.jpg
https://www.j-pop.it/mar-omega/369-m%C3%A4r-omega-01.html	MÄR Omega 01	['Prezzo: 3,90 €']	Tutti i ragazzi hanno un mito, e per Kai, un giovane ragazzo che vive nelle splendide vallate di Mar Heaven, Ginta è senza dubbio l'eroe più grande di tutti i tempi. In fin dei conti il terrestre, grazie alla sua potentissima Arm 'Babbo' e al suo cuore coraggioso è riuscito a sconfiggere l'armata degli scacchi e riportare la pace. E ora che le Arm sono diventare una cosa comune, nessuno sembra voler turbare la tranquillità tanto difficilmente raggiunta. Purtroppo, però, Kai è l'unico ragazzo della città che non possiede un'arma vivente, e così non può nemmeno sognare di eguagliare le imprese del suo eroe. Ma quando viene attaccato da un bandito, il destino decide di fargli un regalo, un regalo con due baffi lunghissimi e un naso appuntito... Temevate di rimanere 'orfani' della splendida saga del maestro Anzai? Non preoccupatevi, una nuova avventura vi aspetta! La ricetta è sempre la stessa: umorismo, colpi di scena e tanta, tantissima azione!	[['Autore: Nobuyuki Anzai'], ['Serie: GP Kids 25'], ['Pagine: 208'], ['Formato: 11.5x17.5'], ['ISBN: 9788864687056'], ['Genere: Fantasy, Avventura, Shonen']]	https://www.j-pop.it/367-thickbox_default/m%C3%A4r-omega-01.jpg
https://www.j-pop.it/mar-omega/370-m%C3%A4r-omega-02.html	MÄR Omega 02	['Prezzo: 3,90 €']	La pace, tanto duramente conquistata da Ginta e i suoi amici, sta per essere messa a dura prova dai terribili poteri dei Fake Ärm, manovrati da Atmos e da Unwetter, un malvagio stregone che, sconfitto da Babbo quando era ancora il Grande Anziano di Kaldea, sogna di distruggere il mondo e raggiungere così la sua tanto agognata vendetta. Per fermarli, Kai, Elisa e Inga stanno cercando la Magic Stone contenente proprio i ricordi del Guardian appartenuto all'eroe degli eroi. Ma qualcuno è intenzionato a fermarli: due ragazzini si nascondono nell'ombra in attesa nel momento giusto per sferrare il loro attacco... La guerra è iniziata!	[['Autore: Nobuyuki Anzai'], ['Serie: GP Kids 26'], ['Formato: 11.5x17.5'], ['ISBN: 9788864687056'], ['Genere: Fantasy, Avventura, Shonen']]	https://www.j-pop.it/368-thickbox_default/m%C3%A4r-omega-02.jpg
https://www.j-pop.it/mar-omega/371-m%C3%A4r-omega-03.html	MÄR Omega 03	['Prezzo: 3,90 €']	Kai e i suoi compagni continuano il loro viaggio alla ricerca delle Magic Stone contenenti i ricordi di Babbo. Lungo la strada incontrano Gelda, una guerriera mandata da Atmos per fermarli: anche lei è costretta a combattere per salvare il proprio villaggio. Come si comporterà Kai di fronte a un nemico che non avrebbe mai voluto combattere?	[['Autore: Nobuyuki Anzai'], ['Serie: GP Kids 27'], ['Formato: 11.5x17.5'], ['ISBN: 9788864687070'], ['Genere: Fantasy, Avventura, Shonen']]	https://www.j-pop.it/369-thickbox_default/m%C3%A4r-omega-03.jpg
https://www.j-pop.it/mar-omega/372-m%C3%A4r-omega-04.html	MÄR Omega 04	['Prezzo: 3,90 €']	La guerra è imminente. Ma nonostante le forze del bene si siano schierate, Kai sa che se non completerà l'Omega System, recuperando così i ricordi di Babbo, una nuova oscurità travolgerà MÄr Heaven... Dalla fantasia di Nobuyuki Anzai (Mixim 11, Crazy Maniax) e Koichiro Hoshino, l'ultimo numero del sequel di MÄR - MÄRCHEN AWAKENS ROMANCE!	[['Autore: Nobuyuki Anzai'], ['Serie: GP Kids 28'], ['Formato: 11.5x17.5'], ['ISBN: 9788864687087'], ['Genere: Fantasy, Avventura, Shonen']]	https://www.j-pop.it/370-thickbox_default/m%C3%A4r-omega-04.jpg
https://www.j-pop.it/rosario-vampire/378-rosario-vampire-01.html	Rosario + Vampire 01	['Prezzo: 4,40 €']	Per una bizzarra coincidenza, Tsukune è stato ammesso al prestigioso Liceo Youkai. E per uno come lui, scartato da ogni altra scuola privata del Paese, questo può voler dire solo guai... Sicuramente dovrà impegnarsi, visto che gli studenti che frequentano la scuola non sono certo ragazzi normali. A dire il vero non sono nemmeno umani. Be', che c'è da stupirsi, i mostri devono pur andare a scuola da qualche parte, no?!Terrorizzato, Tsukune è intenzionato a lasciare l'istituto... finché non incontra Moka, una splendida... vampira! Azione, mostri, battaglie e belle ragazze... avete capito bene: lo shonen di Akihisa Ikdeda vi aspetta in fumetteria!	[['Autore: Akihisa Ikeda'], ['Serie: GP Legends 01'], ['Formato: 11.5x17.5'], ['ISBN: 9788864688275'], ['Genere: Fantasy, Azione, Shonen']]	https://www.j-pop.it/376-thickbox_default/rosario-vampire-01.jpg
https://www.j-pop.it/rosario-vampire/379-rosario-vampire-02.html	Rosario + Vampire 02	['Prezzo: 4,40 €']	Orchi, succubi, sirene e lupi mannari... Tsukune sperava di aver incontrato tutto il 'meglio' che la bizzarra Accademia Yokai può offrirgli, ma ora se la deve vedere con una nuova creatura pronta a minacciare la sua tranquilla -; si fa per dire -; vita scolastica assieme alla bella e dolcissima Moka. Yukari, la più brillante studentessa dell'istituto, infatti, si è perdutamente innamorata della bella vampira, e ora farà di tutto per mettere i bastoni tra le ruote al nostro povero infiltrato. Del resto cos'è l'amore se non affetto, passione e un pizzico di... stregoneria? Da Shonen Jump, l'eccezionale manga di Shueisha che ha stregato il Giappone!	[['Autore: Akihisa Ikeda'], ['Serie: GP Legends 02'], ['Formato: 11.5x17.5'], ['ISBN: 9788864688282'], ['Genere: Fantasy, Azione, Shonen']]	https://www.j-pop.it/377-thickbox_default/rosario-vampire-02.jpg
https://www.j-pop.it/rosario-vampire/380-rosario-vampire-03.html	Rosario + Vampire 03	['Prezzo: 4,40 €']	Il povero Tsukune Aono, finito per errore in una scuola strettamente riservata ai mostri, per sopravvivere non può che far appello ai poteri della bella Moka. Ma la splendida vampira sarà abbastanza forte per proteggerlo da Kuyo? Il terribile presidente del Comitato di Pubblica Sicurezza ha, infatti, intuito la vera natura dell'umano ed è pronto a punirlo... con la morte!	[['Autore: Akihisa Ikeda'], ['Serie: GP Legends 03'], ['Formato: 11.5x17.5'], ['ISBN: 9788864688459'], ['Genere: Fantasy, Azione, Shonen']]	https://www.j-pop.it/378-thickbox_default/rosario-vampire-03.jpg
